4477;01-01-2008;09 19 20 31 45 48
4478;03-01-2008;01 07 10 21 35 46
4479;05-01-2008;02 03 19 25 39 45
4480;08-01-2008;04 05 19 24 29 44
4481;10-01-2008;09 15 17 31 42 47
4482;12-01-2008;07 16 21 22 26 45
4483;15-01-2008;03 08 37 38 41 42
4484;17-01-2008;10 20 30 35 36 47
4485;19-01-2008;05 07 10 14 25 42
4486;22-01-2008;22 23 30 37 41 46
4487;24-01-2008;20 27 31 33 39 44
4488;26-01-2008;20 27 31 32 40 46
4489;29-01-2008;04 23 27 31 37 38
4490;31-01-2008;04 07 13 16 33 39
4491;02-02-2008;06 16 22 30 39 47
4492;05-02-2008;01 25 32 37 47 49
4493;07-02-2008;03 19 21 24 32 34
4494;09-02-2008;07 08 30 38 43 46
4495;12-02-2008;08 11 24 25 28 29
4496;14-02-2008;10 15 35 44 45 46
4497;16-02-2008;01 02 08 15 27 39
4498;19-02-2008;07 09 24 35 47 48
4499;21-02-2008;02 15 19 34 35 44
4500;23-02-2008;08 12 17 18 28 39
4501;26-02-2008;01 04 10 29 37 42
4502;28-02-2008;03 13 21 22 29 35
4503;01-03-2008;22 27 28 30 35 41
4504;04-03-2008;01 10 12 24 45 46
4505;06-03-2008;01 07 13 15 29 44
4506;08-03-2008;02 03 06 18 27 35
4507;11-03-2008;01 03 11 13 32 49
4508;13-03-2008;15 16 20 38 40 46
4509;15-03-2008;08 18 23 37 44 47
4510;18-03-2008;02 13 14 34 35 41
4511;20-03-2008;11 13 21 32 37 42
4512;22-03-2008;01 19 23 24 34 43
4513;25-03-2008;04 18 26 32 41 43
4514;27-03-2008;05 13 20 21 28 46
4515;29-03-2008;03 25 29 31 36 39
4516;01-04-2008;02 09 22 25 28 38
4517;03-04-2008;24 27 34 39 45 46
4518;05-04-2008;07 25 31 34 44 47
4519;08-04-2008;05 10 35 41 43 47
4520;10-04-2008;02 05 13 15 37 38
4521;12-04-2008;11 14 19 30 32 42
4522;15-04-2008;17 27 32 36 41 45
4523;17-04-2008;09 10 11 29 40 42
4524;19-04-2008;03 20 32 38 40 41
4525;22-04-2008;15 16 39 41 42 43
4526;24-04-2008;01 07 11 13 24 35
4527;26-04-2008;06 18 29 31 35 42
4528;29-04-2008;12 14 18 22 43 44
4529;01-05-2008;05 06 10 25 29 32
4530;03-05-2008;01 06 12 30 34 44
4531;06-05-2008;14 18 30 34 39 43
4532;08-05-2008;04 09 16 25 32 45
4533;10-05-2008;03 18 25 30 32 39
4534;13-05-2008;03 06 23 31 32 37
4535;15-05-2008;01 04 06 19 21 44
4536;17-05-2008;11 19 22 35 37 40
4537;20-05-2008;19 21 25 26 43 44
4538;22-05-2008;05 06 30 33 44 45
4539;24-05-2008;06 23 29 34 35 36
4540;27-05-2008;08 18 27 35 38 46
4541;29-05-2008;05 07 09 16 17 20
4542;31-05-2008;05 11 12 23 42 46
